FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Engine 22/Ladder 13/Battalion 10,159 East 85th Street,Manhattan,10028,40.778584,-73.955516,8,5,14801,1047937,1015140027,Upper East Side-Carnegie Hill                                              
Engine 58/Ladder 26,1367 5th Avenue,Manhattan,10029,40.798873,-73.947759,11,9,184,1080501,1016180001,East Harlem North                                                          
Engine 53/Ladder 43,1836-46 3rd  Avenue,Manhattan,10029,40.788714,-73.946774,11,8,166,1051850,1016290040,East Harlem South                                                          
Engine 91,242 East 111th Street,Manhattan,10029,40.794327,-73.941345,11,8,180,1052473,1016600030,East Harlem North                                                          
Engine 35/Ladder 14,2282 3rd Avenue,Manhattan,10035,40.803129,-73.936244,11,8,196,1054465,1017730033,East Harlem North                                                          
Engine 76/Ladder 22/Battalion 11,145-51 West 100th Street,Manhattan,10025,40.795924,-73.966726,7,7,189,1055910,1018550005,Upper West Side                                                            
Engine 47,502 West 113th Street,Manhattan,10025,40.805068,-73.962929,9,7,199,1057000,1018840039,Morningside Heights                                                        
Engine 59/Ladder 30,111 West 133rd Street,Manhattan,10030,40.813057,-73.942358,10,9,226,1058225,1019180024,Central Harlem North-Polo Grounds                                          
Engine 37/Ladder 40,415 West 125th Street,Manhattan,10027,40.81177,-73.954858,9,7,20901,1059547,1019660061,Morningside Heights                                                        
Engine 69/Ladder 28/Battalion 16,248 West 143rd Street,Manhattan,10030,40.821105,-73.941849,10,9,232,1075491,1020280051,Central Harlem North-Polo Grounds                                          
Engine 80/Ladder 23,503 West 139th Street,Manhattan,10031,40.821586,-73.950689,9,7,225,1075504,1020710027,Hamilton Heights                                                           
Engine 84/Ladder 34,513 West 161st Street,Manhattan,10032,40.83564,-73.940856,12,7,245,1062872,1021200046,Washington Heights South                                                   
Engine 67,518 West 170th Street,Manhattan,10032,40.841394,-73.936836,12,10,253,1063024,1021260034,Washington Heights South                                                   
Engine 93/Ladder 45/Battalion 13,515 West 181st Street,Manhattan,10033,40.848398,-73.931516,12,10,269,1075518,1021550030,Washington Heights North                                                   
Engine 95/Ladder 36,29 Vermilyea Avenue,Manhattan,10034,40.864975,-73.925403,12,10,291,1064801,1022240015,Marble Hill-Inwood                                                         
Marine 1,Little West 12th Street/Hudson River,Manhattan,,,,,,,,,
Engine 60/Ladder 17/Battalion 14,341 East 143rd Street,Bronx,10454,40.813024,-73.922395,1,8,41,2000656,2023060052,Mott Haven-Port Morris                                                     
Squad 41,330 East 150th Street,Bronx,10451,40.817502,-73.92037,1,17,65,2000930,2023310033,Melrose South-Mott Haven North                                             
Engine 71/Ladder 55/Division 6,720 Melrose Avenue,Bronx,10455,40.820422,-73.915778,1,17,69,2001400,2023770001,Melrose South-Mott Haven North                                             
Engine 50/Ladder 19,1155 Washington Avenue,Bronx,10456,40.829652,-73.907831,3,16,185,2001584,2023880045,Morrisania-Melrose                                                         
Engine 92/Ladder 44/Battalion 17,1259 Morris Avenue,Bronx,10456,40.834627,-73.91331,4,16,17901,2096490,2024500040,East Concourse-Concourse Village                                           
EMS Station 17 ,1080 Ogden Avenue,Bronx,10452,40.835037,-73.928176,4,8,193,2003255,2025140009,Highbridge                                                                 
Engine 68/Ladder 49,1160 Ogden Avenue ,Bronx,10452,40.836711,-73.927231,4,16,199,2003268,2025140056,Highbridge                                                                 
EMS Station 26,1264 Boston Road,Bronx,10456,40.830637,-73.900986,3,17,151,2004749,2026630022,Morrisania-Melrose                                                         
Engine 73/Ladder 42/Battalion 26,655 Prospect Avenue,Bronx,10455,40.815233,-73.903418,1,17,79,2094318,2026750033,Melrose South-Mott Haven North                                             
Engine 94/Ladder 48/Battalion 3,1226 Seneca Avenue,Bronx,10474,40.818659,-73.888853,2,17,11502,2006440,2027620054,Hunts Point                                                                
Engine 42,1781 Monroe Avenue,Bronx,10457,40.846283,-73.906532,5,15,22901,2007448,2027970035,Mount Hope                                                                 
Engine 43/Ladder 59,1901 Sedgwick Avenue,Bronx,10453,40.854413,-73.917148,5,16,247,2009252,2028810140,University Heights-Morris Heights                                          
Rescue 3,1655 Washington Avenue,Bronx,10457,40.841012,-73.901458,3,16,167,2117925,2029050030,Claremont-Bathgate                                                         
"Engine 46, Ladder 27",460 Cross Bronx Expressway,Bronx,10457,40.844121,-73.900366,6,15,165,2009509,2029070010,Claremont-Bathgate                                                         
"Bronx Borough Command, District Office 6 & 7 ",451 East 176th Street,Bronx,10457,40.84622,-73.899437,6,15,395,2009541,2029090040,Claremont-Bathgate                                                         
Engine 82/Ladder 31,1213 Intervale Avenue,Bronx,10459,40.828518,-73.894951,3,17,125,2010447,2029730038,Morrisania-Melrose                                                         
Engine 48/Ladder 56/Division 7,2417 Webster Avenue,Bronx,10458,40.8594,-73.893546,5,15,39902,2011061,2030250025,Bedford Park-Fordham North                                                 
Engine 88/Ladder 38,2225 Belmont Avenue,Bronx,10457,40.851495,-73.88775,6,15,391,2086781,2030860038,Belmont                                                                    
Engine 45/Ladder 58/Battalion 18,925 East Tremont Avenue,Bronx,10460,40.84172,-73.883628,6,17,363,2013192,2031260012,East Tremont                                                               
Engine 75/Ladder 33/Battalion 19,2175 Walton Avenue,Bronx,10453,40.856116,-73.904179,5,14,239,2118039,2031860037,Fordham South                                                              
Engine 81/Ladder 46,3025 Bailey Avenue,Bronx,10463,40.876728,-73.903539,8,14,277,2000000,2032660001,Van Cortlandt Village                                                      
Engine 79/Ladder 37/Battalion 27,2928 Briggs Avenue,Bronx,10458,40.870433,-73.886796,7,11,40702,2016936,2032970009,Bedford Park-Fordham North                                                 
  Engine 96/Ladder 54,1689 Story Avenue,Bronx,10473,40.822794,-73.869368,9,18,46,2022629,2036600001,Soundview-Castle Hill-Clason Point-Harding Park                            
Engine 64/Ladder 47/District Office 7,1214 Castle Hill Avenue,Bronx,10462,40.832288,-73.851115,9,18,92,2094871,2038210007,Westchester-Unionport                                                      
Engine 90/Ladder 41,1843 White Plains Road,Bronx,10462,40.846244,-73.866503,11,15,236,2043470,2040490049,Van Nest-Morris Park-Westchester Square                                    
Squad 61/Battalion 20,1518 Williamsbridge Road,Bronx,10461,40.844894,-73.846663,11,13,200,2044205,2040820011,Van Nest-Morris Park-Westchester Square                                    
Engine 97,1454 Astor Avenue,Bronx,10469,40.859597,-73.844218,11,13,314,2050740,2043890023,Allerton-Pelham Gardens                                                    
Engine 62/Ladder 32,3431 White Plains Road,Bronx,10467,40.876176,-73.867003,12,12,374,2056968,2046280053,Williamsbridge-Olinville                                                   
Engine 38/Ladder 51,3446 Eastchester Road,Bronx,10469,40.877627,-73.846678,12,12,386,2060238,2047230045,Eastchester-Edenwald-Baychester                                            
Engine 63/Ladder 39/Battalion 15,755 East 233rd Street,Bronx,10466,40.892803,-73.855483,12,12,434,2068155,2049970013,Woodlawn-Wakefield                                                         
Engine 66/Ladder 61,21 Asch Loop West,Bronx,10475,40.870016,-73.830873,10,12,46201,2072355,2051410103,Co-op City                                                                 
Engine 89/Ladder 50,2924 Bruckner Boulevard,Bronx,10465,40.83332,-73.827418,10,13,164,2076433,2054190125,Schuylerville-Throgs Neck-Edgewater Park                                   
Engine 72,3929 East Tremont Avenue,Bronx,10465,40.821377,-73.818597,10,13,130,2077258,2054430170,Schuylerville-Throgs Neck-Edgewater Park                                   
Engine 70/Ladder 53,169 Schofield Street,Bronx,10464,40.845338,-73.784737,10,13,516,2082474,2056420118,Pelham Bay-Country Club-City Island                                        
Engine 207/Ladder 110/Battalion 31/Division 11/Brooklyn Borough Command,172 Tillary Street,Brooklyn,11201,40.695983,-73.983159,2,35,15,3000252,3001340006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Engine 226,409 State Street,Brooklyn,11217,40.686982,-73.982876,2,33,41,3000562,3001720048,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Engine 205/Ladder 118,74 Middagh Street,Brooklyn,11201,40.700172,-73.992239,2,33,1,3001600,3002160022,Brooklyn Heights-Cobble Hill                                               
Engine 224,274 Hicks Street,Brooklyn,11201,40.692948,-73.996971,2,33,7,3002336,3002600036,Brooklyn Heights-Cobble Hill                                               
Engine 279/Ladder 131,252 Lorraine Street,Brooklyn,11231,40.672335,-73.999611,6,38,53,3008207,3004860018,Carroll Gardens-Columbia Street-Red Hook                                   
Engine 202/Ladder 101/Battalion 32,31 Richards Street,Brooklyn,11231,40.680489,-74.006522,6,38,59,3008254,3005120022,Carroll Gardens-Columbia Street-Red Hook                                   
Engine 228,436 39th Street,Brooklyn,11232,40.652045,-74.005218,7,38,84,3010534,3007090019,Sunset Park West                                                           
Engine 201/Ladder 114/Battalion 40,5113-5117 4th Avenue,Brooklyn,11220,40.645773,-74.01329,7,38,78,3414005,3007990003,Sunset Park West                                                           
Squad 1,788 Union Street,Brooklyn,11215,40.674858,-73.976491,6,39,157,3020193,3009570023,Park Slope-Gowanus                                                         
Engine 239,395 4th Avenue,Brooklyn,11215,40.671829,-73.987476,6,39,137,3021578,3009930005,Park Slope-Gowanus                                                         
Engine 220/Ladder 122,530-532 11th Street,Brooklyn,11215,40.665115,-73.981408,6,39,151,3026278,3010960025,Park Slope-Gowanus                                                         
Ladder 105,494 Dean Street,Brooklyn,11217,40.681357,-73.973561,8,35,161,3027813,3011360011,Prospect Heights                                                           
Engine 280/Ladder 132,489-91 Saint Johnï¿½s Place,Brooklyn,,,,,,,,,
Rescue 2,1472 Bergen Street,Brooklyn,11213,40.675264,-73.934917,8,36,345,3035830,3013530014,Crown Heights North                                                        
Engine 234/Ladder 123/Battalion 38,1352 Saint Johnï¿½s Place,Brooklyn,,,,,,,,,
Engine 227,423-25 Ralph Avenue,Brooklyn,11233,40.674798,-73.922015,16,41,303,3038838,3014450002,Ocean Hill                                                                 
Engine 233/Ladder 176,25 Rockaway Avenue,Brooklyn,11233,40.682616,-73.911687,16,37,369,3040990,3015120001,Ocean Hill                                                                 
Engine 217,940 Dekalb Avenue,Brooklyn,11221,40.692896,-73.938066,3,36,281,3043215,3016010023,Stuyvesant Heights                                                         
Engine 222/Battalion 37,32 Ralph Avenue,Brooklyn,11221,40.689385,-73.924006,3,41,387,3044596,3016330039,Stuyvesant Heights                                                         
Engine 214/Ladder 111,495 Hancock Street,Brooklyn,11233,40.684161,-73.935957,3,36,275,3045695,3016540045,Stuyvesant Heights                                                         
Engine 230,701 Park Avenue,Brooklyn,11206,40.697792,-73.947874,3,36,257,3048373,3017300049,Bedford                                                                    
Engine 235/Battalion 57,206 Monroe Street,Brooklyn,11216,40.685357,-73.951464,3,36,245,3051323,3018170048,Bedford                                                                    
Ladder 102,850-56 Bedford Avenue,Brooklyn,11205,40.695635,-73.956361,3,33,1237,3054771,3019000050,Bedford                                                                    
Marine 6,Building 292 Brooklyn Navy Yard,Brooklyn,11205,40.702562,-73.972211,2,33,543,3000000,3020230001,park-cemetery-etc-Brooklyn                                                 
Engine 210,160 Carlton Avenue,Brooklyn,11205,40.692758,-73.972774,2,35,183,3058296,3020720033,Fort Greene                                                                
Engine 211/Ladder 119,26 Hooper Street,Brooklyn,11249,40.701506,-73.962398,1,33,539,3060298,3022030016,Williamsburg                                                               
Engine 221/Ladder 104,161 South 2nd Street,Brooklyn,11211,40.712978,-73.961259,1,34,551,3062972,3024060035,North Side-South Side                                                      
Engine 216/Ladder 108/Battalion 35,187 Union Avenue,Brooklyn,11211,40.706024,-73.950317,1,34,527,3063633,3024650100,North Side-South Side                                                      
Engine 238/Ladder 106,205 Greenpoint Avenue,Brooklyn,11222,40.730511,-73.951056,1,33,579,3064786,3025600050,Greenpoint                                                                 
Engine 229/Ladder 146,75-77 Richardson Street,Brooklyn,11211,40.718405,-73.949027,1,33,515,3067898,3027220028,North Side-South Side                                                      
Engine 206,1201 Grand Street,Brooklyn,11211,40.715147,-73.927956,1,34,449,3070506,3029290053,East Williamsburg                                                          
Engine 237,43 Morgan Avenue,Brooklyn,11237,40.705334,-73.93162,1,34,453,3071494,3031020023,Bushwick North                                                             
Engine 218,650 Hart Street,Brooklyn,11221,40.698379,-73.926877,4,34,423,3073407,3032280013,Bushwick South                                                             
Engine 271/Ladder 124/Battalion 28,392 Himrod Street,Brooklyn,11237,40.703721,-73.916253,4,37,443,3074885,3032810022,Bushwick North                                                             
Engine 277/Ladder 112,582 Knickerbocker Avenue,Brooklyn,11221,40.696564,-73.914423,4,37,433,3076461,3033430029,Bushwick North                                                             
Squad 252,617 Central Avenue,Brooklyn,11207,40.688473,-73.908246,4,37,411,3079480,3034290003,Bushwick South                                                             
Engine 231/Ladder 120/Battalion 44,107 Watkins Street,Brooklyn,11212,40.670374,-73.908033,16,37,906,3080767,3035070005,Brownsville                                                                
Engine 283/Division 15,885 Howard Avenue,Brooklyn,11212,40.660877,-73.918214,16,41,894,3081953,3035800020,Brownsville                                                                
Engine 332/Ladder 175,165 Bradford Street,Brooklyn,11207,40.675359,-73.892863,5,37,1198,3083579,3036910001,East New York                                                              
Engine 290/Ladder 103,480 Sheffield Avenue,Brooklyn,11207,40.665206,-73.895179,5,42,1126,3084622,3038040043,East New York (Pennsylvania Ave)                                           
Engine 236,998 Liberty Avenue,Brooklyn,11208,40.677864,-73.872853,5,37,1196,3094289,3041940020,East New York                                                              
Engine 225/Ladder 107/Battalion 39,799 Lincoln Avenue,Brooklyn,11208,40.669602,-73.865685,5,42,1208,3095894,3042710075,East New York                                                              
Engine 310/Ladder 174/Battalion 58,5105 Snyder Avenue,Brooklyn,11203,40.65019,-73.929035,17,41,862,3102909,3046990040,Rugby-Remsen Village                                                       
Engine 249/Ladder 113,491 Rogers Avenue,Brooklyn,11225,40.660226,-73.953483,9,40,800,3114990,3050330004,Prospect Lefferts Gardens-Wingate                                          
Engine 248,2900 Snyder Avenue,Brooklyn,11226,40.648867,-73.950471,17,40,824,3117400,3051110024,Erasmus                                                                    
Engine 281/Ladder 147,1210 Cortelyou Road,Brooklyn,11218,40.64012,-73.966847,14,40,526,3118638,3051550004,Flatbush                                                                   
Engine 255/Ladder 157,1367 Rogers Avenue,Brooklyn,11210,40.636755,-73.950974,14,45,788,3120929,3052290009,Flatbush                                                                   
Engine 240/Battalion 48,1307 Prospect Avenue,Brooklyn,11218,40.651165,-73.975736,7,39,504,3122838,3052850021,Windsor Terrace                                                            
Engine 282/Ladder 148,4210-12 12th Avenue,Brooklyn,11219,40.640157,-73.990379,12,39,224,3135859,3055970044,Borough Park                                                               
Engine 247,1336 60th Street,Brooklyn,11219,40.62835,-73.997741,12,44,192,3141309,3057190022,Borough Park                                                               
Engine 241/Ladder 109,6630 3rd Avenue,Brooklyn,11220,40.638064,-74.024825,10,43,70,3144349,3058410040,Bay Ridge                                                                  
Engine 242,9219 5th Avenue,Brooklyn,11209,40.617597,-74.029547,10,43,160,3155323,3061090019,Bay Ridge                                                                  
Engine 284/Ladder 149,1157 79th Street,Brooklyn,11228,40.619961,-74.012986,10,43,202,3161800,3062540053,Dyker Heights                                                              
Engine 243/Ladder 168/Battalion 42,8653 18th Avenue,Brooklyn,11214,40.606301,-74.003637,11,47,278,3166596,3063690024,Bensonhurst West                                                           
Engine 250,126 Foster Avenue,Brooklyn,11230,40.627771,-73.976148,14,44,46201,3170273,3064990011,Flatbush                                                                   
Engine 330/Ladder 172 ,2312 65th Street,Brooklyn,11204,40.612343,-73.978973,11,44,434,3173419,3065800006,Bensonhurst East                                                           
Engine 276/Ladder 156/Battalion 33,1635 East 14th Street,Brooklyn,11229,40.609428,-73.959346,15,48,554,3182420,3067770064,Homecrest                                                                  
Engine 253,2429 86th Street,Brooklyn,11214,40.598744,-73.988542,11,47,298,3185380,3068590065,Bensonhurst East                                                           
Engine 318/Ladder 166,2510-14 Neptune Avenue,Brooklyn,11224,40.578073,-73.992901,13,47,328,3188880,3070130007,Seagate-Coney Island                                                       
Engine 254/Ladder 153,901 Avenue U,Brooklyn,11223,40.59823,-73.961967,15,47,394,3192210,3071120049,Homecrest                                                                  
Engine 245/Ladder 161/Battalion 43,2929 West 8th Street,Brooklyn,11224,40.576795,-73.976468,13,48,354,3196591,3072790290,West Brighton                                                              
Engine 257/Ladder 170,1361 Rockaway Parkway,Brooklyn,11236,40.646469,-73.903789,18,42,974,3229407,3081660033,Canarsie                                                                   
Engine 323,6405 Avenue N,Brooklyn,11234,40.619881,-73.915718,18,46,69602,3235919,3083640006,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
Engine 309/Ladder 159,1851 East 48th Street,Brooklyn,11234,40.615732,-73.928488,18,46,672,3239495,3084880016,Flatlands                                                                  
Engine 246/Ladder 169,2732 East 11th Street,Brooklyn,11235,40.584374,-73.959127,15,48,608,3246894,3087610038,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
Engine 321,2165 Gerritsen Avenue,Brooklyn,11229,40.602306,-73.935658,15,46,638,3248186,3088170049,Madison                                                                    
Engine 258/Ladder 115,10-40 47th Avenue,Queens,11101,40.745286,-73.95215,2,26,7,4000333,4000460034,Hunters Point-Sunnyside-West Maspeth                                       
Engine 325/Ladder 163,41-24 51st Street,Queens,11377,40.745335,-73.913527,2,26,25302,4000979,4001310031,Hunters Point-Sunnyside-West Maspeth                                       
Engine 259/Ladder 128/Battalion 45,33-51 Greenpoint Avenue,Queens,11101,40.735961,-73.933706,2,26,199,4003673,4003070029,Hunters Point-Sunnyside-West Maspeth                                       
Engine 260,11-15 37th Avenue,Queens,11101,40.759696,-73.940603,1,26,85,4004305,4003520035,Queensbridge-Ravenswood-Long Island City                                   
Engine 261/Ladder 116,3720-22 29th Street,Queens,,,,,,,,,
Engine 262,30-89 21st Street,Queens,11102,40.767664,-73.929574,1,22,79,4006338,4005510016,Old Astoria                                                                
Engine 263/Ladder 117/Battalion 49,42-06 Astoria Boulevard,Queens,11103,40.768508,-73.908822,1,22,141,4011565,4006880017,Astoria                                                                    
Engine 312,22-63 35th Street,Queens,11105,40.773796,-73.910194,1,22,117,4016405,4008220007,Steinway                                                                   
Engine 307/Ladder 154,81-17 North Boulevard,Queens,,,,,,,,,
Engine 289/Ladder 138,97-28 43rd Avenue,Queens,11368,40.746168,-73.866158,4,21,409,4040712,4016280018,North Corona                                                               
Engine 316,27-12 Kearney Street,Queens,11369,40.762621,-73.869024,3,21,367,4041276,4016580005,East Elmhurst                                                              
Engine 324/Division 14,108-01 Horace Harding Blvd.,Queens,11368,40.737732,-73.851904,4,21,43701,4048310,4019640065,Corona                                                                     
Eng 292/Rescue 4,64-18 Queens Boulevard,Queens,11377,40.741049,-73.900971,2,26,245,4053652,4023250037,Woodside                                                                   
Squad 288/Hazmat 1,56-29 68th Street,Queens,11378,40.72625,-73.896512,5,30,511,4055348,4023950004,Maspeth                                                                    
Engine 287/Ladder 136/Battalion 46,86-53 Grand Avenue,Queens,11373,40.736156,-73.87905,4,25,475,4057367,4024770026,Elmhurst                                                                   
Engine 291/Ladder 140,56-07 Metropolitan Avenue,Queens,11385,40.71295,-73.906791,5,30,595,4440960,4026460018,Ridgewood                                                                  
Engine 305/Ladder 151,111-02 Queens Boulevard,Queens,11375,40.718522,-73.837437,6,29,76901,4078827,4032940020,Forest Hills                                                               
Engine 286/Ladder 135,66-44 Myrtle Avenue,Queens,11385,40.701448,-73.88674,5,30,629,4090228,4037000021,Glendale                                                                   
Engine 319,78-11 67th Road,Queens,11379,40.712445,-73.875009,5,30,621,4091550,4037760056,Middle Village                                                             
Engine 297/Ladder 130,119-11 14th Road,Queens,11356,40.784806,-73.848387,7,19,929,4098032,4040540017,College Point                                                              
Engine 295/Ladder 144,12-49 149th Street,Queens,11357,40.789118,-73.81633,7,19,981,4102462,4045050007,Whitestone                                                                 
Engine 273/Ladder 129,40-18 Union Street,Queens,11354,40.760003,-73.826312,7,20,853,4113561,4050190066,Flushing                                                                   
Engine 274/Battalion 52,41-20 Murray Street,Queens,11355,40.762562,-73.812512,7,20,1167,4114925,4050580037,Murray Hill                                                                
Engine 320/Ladder 167,36-18 Francis Lewis Boulevard,Queens,11358,40.763428,-73.786616,11,19,1139,4120143,4053190008,Auburndale                                                                 
Engine 306/Battalion 53,40-18 214th Place,Queens,11361,40.764348,-73.769596,11,19,1123,4138284,4062880032,Bayside-Bayside Hills                                                      
Engine 315/Ladder 125,159-06 Union Turnpike,Queens,11366,40.720329,-73.807761,8,24,1265,4148377,4068540028,Pomonok-Flushing Heights-Hillcrest                                         
Engine 299/Ladder 152,61-20 Utopia Parkway,Queens,11365,40.738613,-73.792967,8,24,1341,4148798,4068910003,Fresh Meadows-Utopia                                                       
Engine 326/Ladder 160,64-04 Springfield Boulevard,Queens,11364,40.747071,-73.755681,11,23,1367,4162454,4076210012,Oakland Gardens                                                            
Engine 313/Ladder 164,44-01 244th Street,Queens,11363,40.766659,-73.742451,11,19,1479,4168901,4081120192,Douglas Manor-Douglaston-Little Neck                                       
Engine 251,254-20 Union Turnpike,Queens,11004,40.744582,-73.716559,13,23,157902,4177508,4086910013,Glen Oaks-Floral Park-New Hyde Park                                        
Engine 293,89-40 87th Street,Queens,11421,40.689493,-73.856104,9,32,8,4185536,4089680025,Woodhaven                                                                  
Engine 285/Ladder 142,103-17 98th Street,Queens,11417,40.682684,-73.842194,10,32,4002,4438526,4091210011,Ozone Park                                                                 
Ladder 143,101-02 Jamaica Avenue,Queens,11418,40.695038,-73.846268,9,32,28,4194106,4092860006,Richmond Hill                                                              
Squad 270/Division 13,91-45 121st Street,Queens,11418,40.695411,-73.82626,9,29,14202,4196913,4093750007,Richmond Hill                                                              
Engine 308/Battalion 51,107-12 Lefferts Boulevard,Queens,11419,40.684043,-73.823106,10,28,106,4205407,4095980010,South Ozone Park                                                           
Engine 298/Ladder 127/Battalion 50,153-11 Hillside Avenue,Queens,11432,40.70731,-73.804242,8,24,236,4207481,4097060066,Briarwood-Jamaica Hills                                                    
Engine 303/Ladder 126,104-12 Princeton Street,Queens,11435,40.693876,-73.806943,12,28,204,4214846,4100460014,Jamaica                                                                    
Engine 275,111-36 Merrick Boulevard,Queens,11433,40.694052,-73.781115,12,27,266,4217371,4102080045,South Jamaica                                                              
Engine 301/Ladder 150,91-04 197th Street,Queens,11423,40.714494,-73.762763,12,23,484,4222434,4104640025,Hollis                                                                     
Engine 304/Ladder 162,218-44 97th Avenue,Queens,11429,40.71706,-73.735871,13,27,568,4230875,4107700023,Queens Village                                                             
Engine 302/Ladder 155,143-15 Rockaway Boulevard,Queens,11436,40.673836,-73.795461,12,28,182,4261544,4120460002,Baisley Park                                                               
Engine 317/Ladder 165/Battalion 54,117-11 196th Street,Queens,11412,40.69301,-73.755814,12,27,394,4271743,4126170040,St. Albans                                                                 
Engine 311/Ladder 158,145-50 Springfield Boulevard,Queens,11413,40.663404,-73.759473,13,31,320,4286093,4133610200,Springfield Gardens South-Brookville                                       
Engine 314,142-04 Brookville Boulevard,Queens,11422,40.663992,-73.740515,13,31,654,4287743,4135380015,Rosedale                                                                   
